"","date","median.flow.3monthlag","max.flow.3monthlag","date.of.max.flow.3monthlag","fall.rate.3monthlag","rise.rate.3monthlag","reversals.3monthlag","inflows.3monthlag","inflows.upperqtl.3monthlag","inflows.lowerqtl.3monthlag","minDO.oakcity.3monthlag","minDO.jamesville.3monthlag","days.over.10k.3monthlag","days.over.15k.3monthlag","days.over.20k.3monthlag","days.over.30k.3monthlag","median.flow.2monthlag","max.flow.2monthlag","date.of.max.flow.2monthlag","fall.rate.2monthlag","rise.rate.2monthlag","reversals.2monthlag","inflows.2monthlag","inflows.upperqtl.2monthlag","inflows.lowerqtl.2monthlag","minDO.oakcity.2monthlag","minDO.jamesville.2monthlag","days.over.10k.2monthlag","days.over.15k.2monthlag","days.over.20k.2monthlag","days.over.30k.2monthlag","median.flow.1monthlag","max.flow.1monthlag","date.of.max.flow.1monthlag","fall.rate.1monthlag","rise.rate.1monthlag","reversals.1monthlag","inflows.1monthlag","inflows.upperqtl.1monthlag","inflows.lowerqtl.1monthlag","minDO.oakcity.1monthlag","minDO.jamesville.1monthlag","days.over.10k.1monthlag","days.over.15k.1monthlag","days.over.20k.1monthlag","days.over.30k.1monthlag","median.monthly.flow","max.monthly.flow","date.of.monthly.max.flow","monthly.fall.rate","monthly.rise.rate","monthly.reversals","monthly.inflows","inflows.upperquartile","inflows.lowerquartile","minDO.oakcity","minDO.jamesville","days.over.10k","days.over.15k","days.over.20k","days.over.30k"
"11",1973-07-01,19500,19600,103,100,100,8,19434.0666666667,1,0,NA,NA,30,30,0,0,14500,19800,129,1500,600,13,10871.9677419355,1,0,NA,NA,22,14,0,0,9425,13200,164,2560,1615,11,7693.4,1,0,NA,NA,13,0,0,0,8160,16000,191,2185,1270,14,4981.12903225806,1,0,NA,NA,8,1,0,0
"12",1973-08-01,14500,19800,129,1500,600,13,10871.9677419355,1,0,NA,NA,22,14,0,0,9425,13200,164,2560,1615,11,7693.4,1,0,NA,NA,13,0,0,0,8160,16000,191,2185,1270,14,4981.12903225806,1,0,NA,NA,8,1,0,0,8540,17800,242,700,2630,15,6912.93548387097,1,0,NA,NA,10,3,0,0
"13",1973-09-01,9425,13200,164,2560,1615,11,7693.4,1,0,NA,NA,13,0,0,0,8160,16000,191,2185,1270,14,4981.12903225806,1,0,NA,NA,8,1,0,0,8540,17800,242,700,2630,15,6912.93548387097,1,0,NA,NA,10,3,0,0,2210,13900,269,250,1890,12,2963.13333333333,0,0,NA,NA,4,0,0,0
"14",1973-10-01,8160,16000,191,2185,1270,14,4981.12903225806,1,0,NA,NA,8,1,0,0,8540,17800,242,700,2630,15,6912.93548387097,1,0,NA,NA,10,3,0,0,2210,13900,269,250,1890,12,2963.13333333333,0,0,NA,NA,4,0,0,0,13500,19600,281,3350,2300,9,3156.22580645161,0,0,NA,NA,1,0,0,0
"15",1973-11-01,8540,17800,242,700,2630,15,6912.93548387097,1,0,NA,NA,10,3,0,0,2210,13900,269,250,1890,12,2963.13333333333,0,0,NA,NA,4,0,0,0,13500,19600,281,3350,2300,9,3156.22580645161,0,0,NA,NA,1,0,0,0,14200,19600,335,3300,1540,10,3210.6,0,0,NA,NA,2,0,0,0
"16",1973-12-01,2210,13900,269,250,1890,12,2963.13333333333,0,0,NA,NA,4,0,0,0,13500,19600,281,3350,2300,9,3156.22580645161,0,0,NA,NA,1,0,0,0,14200,19600,335,3300,1540,10,3210.6,0,0,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1974-01-01,13500,19600,281,3350,2300,9,3156.22580645161,0,0,NA,NA,1,0,0,0,14200,19600,335,3300,1540,10,3210.6,0,0,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1974-02-01,14200,19600,335,3300,1540,10,3210.6,0,0,NA,NA,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1974-06-01,6300,14000,85,4399,2900,16,8903.77419354839,0,0,NA,NA,9,0,0,0,14550,17700,108,1295,1590,11,12022.2666666667,0,0,NA,NA,22,10,0,0,10500,15700,129,3585,2380,10,8066.29032258064,0,0,NA,NA,17,2,0,0,5840,14700,162,1090,270,15,5220.23333333333,0,0,NA,NA,10,0,0,0
"20",1974-07-01,14550,17700,108,1295,1590,11,12022.2666666667,0,0,NA,NA,22,10,0,0,10500,15700,129,3585,2380,10,8066.29032258064,0,0,NA,NA,17,2,0,0,5840,14700,162,1090,270,15,5220.23333333333,0,0,NA,NA,10,0,0,0,2310,19400,190,300,190,12,3918,0,0,NA,NA,9,4,0,0
"21",1974-08-01,10500,15700,129,3585,2380,10,8066.29032258064,0,0,NA,NA,17,2,0,0,5840,14700,162,1090,270,15,5220.23333333333,0,0,NA,NA,10,0,0,0,2310,19400,190,300,190,12,3918,0,0,NA,NA,9,4,0,0,4300,13600,234,2240,1990,11,5113.64516129032,1,0,NA,NA,6,0,0,0
"22",1974-09-01,5840,14700,162,1090,270,15,5220.23333333333,0,0,NA,NA,10,0,0,0,2310,19400,190,300,190,12,3918,0,0,NA,NA,9,4,0,0,4300,13600,234,2240,1990,11,5113.64516129032,1,0,NA,NA,6,0,0,0,14050,19400,259,1850,300,7,12933.3333333333,1,0,NA,NA,19,12,0,0
"23",1974-10-01,2310,19400,190,300,190,12,3918,0,0,NA,NA,9,4,0,0,4300,13600,234,2240,1990,11,5113.64516129032,1,0,NA,NA,6,0,0,0,14050,19400,259,1850,300,7,12933.3333333333,1,0,NA,NA,19,12,0,0,2080,10600,278,140,100,17,2694.41935483871,0,0,NA,NA,6,0,0,0
"24",1974-11-01,4300,13600,234,2240,1990,11,5113.64516129032,1,0,NA,NA,6,0,0,0,14050,19400,259,1850,300,7,12933.3333333333,1,0,NA,NA,19,12,0,0,2080,10600,278,140,100,17,2694.41935483871,0,0,NA,NA,6,0,0,0,3365,11100,315,2572,2440,17,2757.56666666667,0,0,NA,NA,14,5,0,0
"25",1974-12-01,14050,19400,259,1850,300,7,12933.3333333333,1,0,NA,NA,19,12,0,0,2080,10600,278,140,100,17,2694.41935483871,0,0,NA,NA,6,0,0,0,3365,11100,315,2572,2440,17,2757.56666666667,0,0,NA,NA,14,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1975-01-01,2080,10600,278,140,100,17,2694.41935483871,0,0,NA,NA,6,0,0,0,3365,11100,315,2572,2440,17,2757.56666666667,0,0,NA,NA,14,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1975-02-01,3365,11100,315,2572,2440,17,2757.56666666667,0,0,NA,NA,14,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1975-06-01,18800,35300,91,1410,1550,11,35219.1935483871,1,0,NA,NA,23,17,12,6,35100,35600,105,200,200,16,12277.1666666667,0,0,NA,NA,28,25,25,24,6550,15700,122,600,800,12,7526.32258064516,0,0,NA,NA,11,2,0,0,8155,18900,156,2830,4450,10,6560.93333333333,0,0,NA,NA,13,4,0,0
"29",1975-07-01,35100,35600,105,200,200,16,12277.1666666667,0,0,NA,NA,28,25,25,24,6550,15700,122,600,800,12,7526.32258064516,0,0,NA,NA,11,2,0,0,8155,18900,156,2830,4450,10,6560.93333333333,0,0,NA,NA,13,4,0,0,18500,19400,197,100,100,9,13992.6774193548,1,0,NA,NA,19,17,0,0
"30",1975-08-01,6550,15700,122,600,800,12,7526.32258064516,0,0,NA,NA,11,2,0,0,8155,18900,156,2830,4450,10,6560.93333333333,0,0,NA,NA,13,4,0,0,18500,19400,197,100,100,9,13992.6774193548,1,0,NA,NA,19,17,0,0,11600,18700,220,820,200,14,3883.87096774194,0,0,NA,NA,18,8,0,0
"31",1975-09-01,8155,18900,156,2830,4450,10,6560.93333333333,0,0,NA,NA,13,4,0,0,18500,19400,197,100,100,9,13992.6774193548,1,0,NA,NA,19,17,0,0,11600,18700,220,820,200,14,3883.87096774194,0,0,NA,NA,18,8,0,0,3850,19200,271,210,300,10,9919.7,1,0,NA,NA,8,4,0,0
"32",1975-10-01,18500,19400,197,100,100,9,13992.6774193548,1,0,NA,NA,19,17,0,0,11600,18700,220,820,200,14,3883.87096774194,0,0,NA,NA,18,8,0,0,3850,19200,271,210,300,10,9919.7,1,0,NA,NA,8,4,0,0,1950,14000,277,610,60,13,5841.51612903226,0,0,NA,NA,14,3,0,0
"33",1975-11-01,11600,18700,220,820,200,14,3883.87096774194,0,0,NA,NA,18,8,0,0,3850,19200,271,210,300,10,9919.7,1,0,NA,NA,8,4,0,0,1950,14000,277,610,60,13,5841.51612903226,0,0,NA,NA,14,3,0,0,8890,19300,332,1180,2900,12,4845.53333333333,0,0,NA,NA,4,0,0,0
"34",1975-12-01,3850,19200,271,210,300,10,9919.7,1,0,NA,NA,8,4,0,0,1950,14000,277,610,60,13,5841.51612903226,0,0,NA,NA,14,3,0,0,8890,19300,332,1180,2900,12,4845.53333333333,0,0,NA,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1976-01-01,1950,14000,277,610,60,13,5841.51612903226,0,0,NA,NA,14,3,0,0,8890,19300,332,1180,2900,12,4845.53333333333,0,0,NA,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1976-02-01,8890,19300,332,1180,2900,12,4845.53333333333,0,0,NA,NA,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1976-06-01,3300,12800,72,1390,4660,17,5959.87096774194,0,1,NA,NA,3,0,0,0,3960,9730,114,950,1380,13,6002.36666666667,0,1,NA,NA,0,0,0,0,6280,9020,126,40,70,14,4218.09677419355,0,1,NA,NA,0,0,0,0,5540,8950,161,1620,1450,17,6380.26666666667,0,0,NA,NA,0,0,0,0
"38",1976-07-01,3960,9730,114,950,1380,13,6002.36666666667,0,1,NA,NA,0,0,0,0,6280,9020,126,40,70,14,4218.09677419355,0,1,NA,NA,0,0,0,0,5540,8950,161,1620,1450,17,6380.26666666667,0,0,NA,NA,0,0,0,0,2970,9720,194,1210,1235,15,2455.35483870968,0,0,NA,NA,0,0,0,0
"39",1976-08-01,6280,9020,126,40,70,14,4218.09677419355,0,1,NA,NA,0,0,0,0,5540,8950,161,1620,1450,17,6380.26666666667,0,0,NA,NA,0,0,0,0,2970,9720,194,1210,1235,15,2455.35483870968,0,0,NA,NA,0,0,0,0,2430,7990,235,70,40,20,1870.90322580645,0,1,NA,NA,0,0,0,0
"40",1976-09-01,5540,8950,161,1620,1450,17,6380.26666666667,0,0,NA,NA,0,0,0,0,2970,9720,194,1210,1235,15,2455.35483870968,0,0,NA,NA,0,0,0,0,2430,7990,235,70,40,20,1870.90322580645,0,1,NA,NA,0,0,0,0,2450,12700,260,660,120,8,1842.66666666667,0,0,NA,NA,1,0,0,0
"41",1976-10-01,2970,9720,194,1210,1235,15,2455.35483870968,0,0,NA,NA,0,0,0,0,2430,7990,235,70,40,20,1870.90322580645,0,1,NA,NA,0,0,0,0,2450,12700,260,660,120,8,1842.66666666667,0,0,NA,NA,1,0,0,0,9080,19300,276,3085,1510,12,10574.2903225806,1,0,NA,NA,11,5,0,0
"42",1976-11-01,2430,7990,235,70,40,20,1870.90322580645,0,1,NA,NA,0,0,0,0,2450,12700,260,660,120,8,1842.66666666667,0,0,NA,NA,1,0,0,0,9080,19300,276,3085,1510,12,10574.2903225806,1,0,NA,NA,11,5,0,0,8090,13400,333,1350,1490,16,4306.33333333333,0,0,NA,NA,17,6,0,0
"43",1976-12-01,2450,12700,260,660,120,8,1842.66666666667,0,0,NA,NA,1,0,0,0,9080,19300,276,3085,1510,12,10574.2903225806,1,0,NA,NA,11,5,0,0,8090,13400,333,1350,1490,16,4306.33333333333,0,0,NA,NA,17,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1977-01-01,9080,19300,276,3085,1510,12,10574.2903225806,1,0,NA,NA,11,5,0,0,8090,13400,333,1350,1490,16,4306.33333333333,0,0,NA,NA,17,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1977-02-01,8090,13400,333,1350,1490,16,4306.33333333333,0,0,NA,NA,17,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1977-06-01,3500,11500,83,1940,3080,20,8157.12903225806,0,0,NA,NA,2,0,0,0,6560,18700,99,1490,2840,11,8890.5,0,0,NA,NA,10,2,0,0,6240,14400,124,60,45,14,3372.09677419355,0,1,NA,NA,5,0,0,0,2320,3070,177,30,40,18,2640.26666666667,0,1,NA,NA,0,0,0,0
"47",1977-07-01,6560,18700,99,1490,2840,11,8890.5,0,0,NA,NA,10,2,0,0,6240,14400,124,60,45,14,3372.09677419355,0,1,NA,NA,5,0,0,0,2320,3070,177,30,40,18,2640.26666666667,0,1,NA,NA,0,0,0,0,2450,9900,194,420,1165,18,1493.45161290323,0,1,NA,NA,0,0,0,0
"48",1977-08-01,6240,14400,124,60,45,14,3372.09677419355,0,1,NA,NA,5,0,0,0,2320,3070,177,30,40,18,2640.26666666667,0,1,NA,NA,0,0,0,0,2450,9900,194,420,1165,18,1493.45161290323,0,1,NA,NA,0,0,0,0,2340,5610,244,35,40,18,1455.16129032258,0,1,NA,NA,0,0,0,0
"49",1977-09-01,2320,3070,177,30,40,18,2640.26666666667,0,1,NA,NA,0,0,0,0,2450,9900,194,420,1165,18,1493.45161290323,0,1,NA,NA,0,0,0,0,2340,5610,244,35,40,18,1455.16129032258,0,1,NA,NA,0,0,0,0,2345,7950,263,350,90,13,2162.33333333333,0,0,NA,NA,0,0,0,0
"50",1977-10-01,2450,9900,194,420,1165,18,1493.45161290323,0,1,NA,NA,0,0,0,0,2340,5610,244,35,40,18,1455.16129032258,0,1,NA,NA,0,0,0,0,2345,7950,263,350,90,13,2162.33333333333,0,0,NA,NA,0,0,0,0,5840,18700,302,1180,1300,9,4932.93548387097,0,0,NA,NA,1,0,0,0
"51",1977-11-01,2340,5610,244,35,40,18,1455.16129032258,0,1,NA,NA,0,0,0,0,2345,7950,263,350,90,13,2162.33333333333,0,0,NA,NA,0,0,0,0,5840,18700,302,1180,1300,9,4932.93548387097,0,0,NA,NA,1,0,0,0,11250,18900,314,1650,3700,10,6268.36666666667,0,0,NA,NA,13,1,0,0
"52",1977-12-01,2345,7950,263,350,90,13,2162.33333333333,0,0,NA,NA,0,0,0,0,5840,18700,302,1180,1300,9,4932.93548387097,0,0,NA,NA,1,0,0,0,11250,18900,314,1650,3700,10,6268.36666666667,0,0,NA,NA,13,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1978-01-01,5840,18700,302,1180,1300,9,4932.93548387097,0,0,NA,NA,1,0,0,0,11250,18900,314,1650,3700,10,6268.36666666667,0,0,NA,NA,13,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1978-02-01,11250,18900,314,1650,3700,10,6268.36666666667,0,0,NA,NA,13,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1978-06-01,18500,18700,66,100,500,16,19588.7096774194,1,0,NA,NA,30,23,0,0,9580,26100,121,840,2100,13,21917.1,1,0,NA,NA,14,12,2,0,34600,35300,122,300,100,16,22041.5161290323,1,0,NA,NA,31,31,29,23,18550,18700,153,1850,2800,10,5757.93333333333,0,0,NA,NA,25,17,0,0
"56",1978-07-01,9580,26100,121,840,2100,13,21917.1,1,0,NA,NA,14,12,2,0,34600,35300,122,300,100,16,22041.5161290323,1,0,NA,NA,31,31,29,23,18550,18700,153,1850,2800,10,5757.93333333333,0,0,NA,NA,25,17,0,0,8250,12800,206,830,1610,21,6123.74193548387,1,0,NA,NA,10,0,0,0
"57",1978-08-01,34600,35300,122,300,100,16,22041.5161290323,1,0,NA,NA,31,31,29,23,18550,18700,153,1850,2800,10,5757.93333333333,0,0,NA,NA,25,17,0,0,8250,12800,206,830,1610,21,6123.74193548387,1,0,NA,NA,10,0,0,0,6680,10200,227,1410,1585,17,5869.1935483871,1,0,NA,NA,1,0,0,0
"58",1978-09-01,18550,18700,153,1850,2800,10,5757.93333333333,0,0,NA,NA,25,17,0,0,8250,12800,206,830,1610,21,6123.74193548387,1,0,NA,NA,10,0,0,0,6680,10200,227,1410,1585,17,5869.1935483871,1,0,NA,NA,1,0,0,0,2605,9650,263,1180,1325,12,3918.16666666667,0,0,NA,NA,0,0,0,0
"59",1978-10-01,8250,12800,206,830,1610,21,6123.74193548387,1,0,NA,NA,10,0,0,0,6680,10200,227,1410,1585,17,5869.1935483871,1,0,NA,NA,1,0,0,0,2605,9650,263,1180,1325,12,3918.16666666667,0,0,NA,NA,0,0,0,0,1950,10200,298,180,780,13,2416.67741935484,0,0,NA,NA,0,0,0,0
"60",1978-11-01,6680,10200,227,1410,1585,17,5869.1935483871,1,0,NA,NA,1,0,0,0,2605,9650,263,1180,1325,12,3918.16666666667,0,0,NA,NA,0,0,0,0,1950,10200,298,180,780,13,2416.67741935484,0,0,NA,NA,0,0,0,0,9180,16400,317,2400,2300,14,3259.83333333333,0,0,NA,NA,0,0,0,0
"61",1978-12-01,2605,9650,263,1180,1325,12,3918.16666666667,0,0,NA,NA,0,0,0,0,1950,10200,298,180,780,13,2416.67741935484,0,0,NA,NA,0,0,0,0,9180,16400,317,2400,2300,14,3259.83333333333,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1979-01-01,1950,10200,298,180,780,13,2416.67741935484,0,0,NA,NA,0,0,0,0,9180,16400,317,2400,2300,14,3259.83333333333,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1979-02-01,9180,16400,317,2400,2300,14,3259.83333333333,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1979-06-01,25500,25800,71,300,100,13,20081.064516129,1,0,NA,NA,31,31,24,0,18700,18900,95,100,100,10,12336.9,0,0,NA,NA,29,28,0,0,10600,18600,125,2100,1100,13,7866.38709677419,0,0,NA,NA,16,5,0,0,7900,14600,158,1305,2020,18,7143.1,1,0,NA,NA,9,0,0,0
"65",1979-07-01,18700,18900,95,100,100,10,12336.9,0,0,NA,NA,29,28,0,0,10600,18600,125,2100,1100,13,7866.38709677419,0,0,NA,NA,16,5,0,0,7900,14600,158,1305,2020,18,7143.1,1,0,NA,NA,9,0,0,0,4650,10900,194,1510,2170,14,4184.70967741936,0,0,NA,NA,1,0,0,0
"66",1979-08-01,10600,18600,125,2100,1100,13,7866.38709677419,0,0,NA,NA,16,5,0,0,7900,14600,158,1305,2020,18,7143.1,1,0,NA,NA,9,0,0,0,4650,10900,194,1510,2170,14,4184.70967741936,0,0,NA,NA,1,0,0,0,3730,12300,214,1790,2265,16,3458.09677419355,0,0,NA,NA,3,0,0,0
"67",1979-09-01,7900,14600,158,1305,2020,18,7143.1,1,0,NA,NA,9,0,0,0,4650,10900,194,1510,2170,14,4184.70967741936,0,0,NA,NA,1,0,0,0,3730,12300,214,1790,2265,16,3458.09677419355,0,0,NA,NA,3,0,0,0,13500,19400,268,670,2770,6,21636.9,1,0,NA,NA,17,8,0,0
"68",1979-10-01,4650,10900,194,1510,2170,14,4184.70967741936,0,0,NA,NA,1,0,0,0,3730,12300,214,1790,2265,16,3458.09677419355,0,0,NA,NA,3,0,0,0,13500,19400,268,670,2770,6,21636.9,1,0,NA,NA,17,8,0,0,2170,7960,301,1170,875,17,14127,1,0,NA,NA,29,28,12,0
"69",1979-11-01,3730,12300,214,1790,2265,16,3458.09677419355,0,0,NA,NA,3,0,0,0,13500,19400,268,670,2770,6,21636.9,1,0,NA,NA,17,8,0,0,2170,7960,301,1170,875,17,14127,1,0,NA,NA,29,28,12,0,4475,9000,332,1220,1120,19,11116.9,1,0,NA,NA,29,19,0,0
"70",1979-12-01,13500,19400,268,670,2770,6,21636.9,1,0,NA,NA,17,8,0,0,2170,7960,301,1170,875,17,14127,1,0,NA,NA,29,28,12,0,4475,9000,332,1220,1120,19,11116.9,1,0,NA,NA,29,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1980-01-01,2170,7960,301,1170,875,17,14127,1,0,NA,NA,29,28,12,0,4475,9000,332,1220,1120,19,11116.9,1,0,NA,NA,29,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
